created,text,retwc,hashtag,followers,friends
1/18/18 6:40,"For the first time in their life, cats felt a(n) panic, dark and enormous inside.",0,None,7,0
1/18/18 6:40,"RT @Mcstronghuge: simple things i enjoy:

- the day's first cup of coffee
- listening to good music
- cats purring
- a towering mass of casâ€_",2,None,270,399
1/18/18 6:40,"RT @CatMamasDotCom: #Cats seem to look through walls, somehow...I wonder what they see that we don't? #animalspirit #loveanimals https://t.â€_",7,Cats,4815,2978
1/18/18 6:40,"RT @whiteris159753: Add More Years and Life to Your Pet. Highest Quality, All Natural Pharmaceutical Human Grade Salmon Oil For Dogs and Caâ€_",127,None,0,21
1/18/18 6:40,"RT @SarahEBond: When I get overwhelmed at the start of every new semester, I sometimes think of this mosaic from Roman Antioch (3rd c. CE,â€_",60,None,64,519
1/18/18 6:40,When #lilou_officiel burns his opponent watch the cats behind the barriers #bcone https://t.co/PVEjK3PcGg,0,lilou_officiel,2674,2213
1/18/18 6:40,"RT @CrankGameplays: @Foxtrot44 Happy Birthday, Molly!!!! Hope it was filled with cats and presents and Wade doing things for you!!!",48,None,233,136
1/18/18 6:40,RT @Realmediavoices: @canadianglen @sandra_harris good...https://t.co/3SwaGdTh2l #savethCLAWS,1,savethCLAWS,6041,4970
1/18/18 6:40,"RT @sachikoko: _Ÿ’—4YO MINNIE &amp; 9YO PRECIOUS R SCARED_Ÿ’—
_Ÿ˜¿_Ÿ’”AFTER BEING DUMPED @ #CCAC BY THEIR OWNER
â_ NEED PLEDGES_Ÿ’°&amp; #RESCUE _Ÿ_’ASAP
âè©IDs: 602117â€_",14,CCAC,4815,2978
1/18/18 6:40,RT @darren_gilmore: Hey VIC Twitter peeps.... I know mist of us have nice English gardens but can I put a call out for us all to put some wâ€_,1,None,208,996
1/18/18 6:40,"@ForTheWinn With raised brows she took in the description of the show Winn was speaking ahout. 
â€œIt sounds rivetingâ€_ https://t.co/4CjLmmnUlx",0,None,237,190
1/18/18 6:40,RT @GarrettFigen: Retweet if you like cats! https://t.co/BaBzuMI2Uf,7,None,987,2714
1/18/18 6:40,"*cats fucking outside* 
Me: Sylvester is getting some pussy! 
Dad: *something muffled from the other side of the hoâ€_ https://t.co/ZuNpq8Ud8Z",0,None,150,950
1/18/18 6:40,"RT @TheHumaneLeague: Dogs, cats or calves-- they all deserve endless love. _Ÿ’_ #ChooseVeg today and check out https://t.co/OiMCbSMFNK 

Videoâ€_",85,ChooseVeg,1699,2946
1/18/18 6:40,( WHY ARE THERE ALWAYS CATS FIGHTING AT NIGHT. ),0,None,78,71
1/18/18 6:40,) families ta do cats to correspond. - @thePoeticRobot,0,None,14,0
1/18/18 6:40,"RT @GucciGuccin: @mofaizal09 #christmas #Xmas
#ChristmasEve #MerryChritsmas
#cats 
#snowfall 
âù„ï¸èâ˜ƒï¸èâù„ï¸èâ˜ƒï¸èâù„ï¸èâ˜ƒï¸èâù„ï¸èâ˜ƒï¸èâù„ï¸èâ˜ƒï¸èâù„ï¸è
_Ÿ_„_Ÿ_ÅMerry Christmas _Ÿ_Å_Ÿ_„â€_",214,christmas,1140,2068
1/18/18 6:39,EARLY Vintage Christian Dior by Francis Winter CATS EYE Opal Art Glass Necklace Top Seller https://t.co/1XNSEiU1kc https://t.co/YpMAJk7YEe,0,None,1397,696
