created,text,retwc,hashtag,followers,friends
2018-01-18 06:40:44,"For the first time in their life, cats felt a(n) panic, dark and enormous inside.",0,None,7,0
2018-01-18 06:40:41,"RT @Mcstronghuge: simple things i enjoy:

- the day's first cup of coffee
- listening to good music
- cats purring
- a towering mass of cas…",2,None,270,399
2018-01-18 06:40:39,"RT @CatMamasDotCom: #Cats seem to look through walls, somehow...I wonder what they see that we don't? #animalspirit #loveanimals https://t.…",7,Cats,4815,2978
2018-01-18 06:40:39,"RT @whiteris159753: Add More Years and Life to Your Pet. Highest Quality, All Natural Pharmaceutical Human Grade Salmon Oil For Dogs and Ca…",127,None,0,21
2018-01-18 06:40:36,"RT @SarahEBond: When I get overwhelmed at the start of every new semester, I sometimes think of this mosaic from Roman Antioch (3rd c. CE,…",60,None,64,519
2018-01-18 06:40:36,When #lilou_officiel burns his opponent watch the cats behind the barriers #bcone https://t.co/PVEjK3PcGg,0,lilou_officiel,2674,2213
2018-01-18 06:40:35,"RT @CrankGameplays: @Foxtrot44 Happy Birthday, Molly!!!! Hope it was filled with cats and presents and Wade doing things for you!!!",48,None,233,136
2018-01-18 06:40:30,RT @Realmediavoices: @canadianglen @sandra_harris good...https://t.co/3SwaGdTh2l #savethCLAWS,1,savethCLAWS,6041,4970
2018-01-18 06:40:26,"RT @sachikoko: 💗4YO MINNIE &amp; 9YO PRECIOUS R SCARED💗
😿💔AFTER BEING DUMPED @ #CCAC BY THEIR OWNER
⚠NEED PLEDGES💰&amp; #RESCUE 🚒ASAP
⏩IDs: 602117…",14,CCAC,4815,2978
2018-01-18 06:40:23,RT @darren_gilmore: Hey VIC Twitter peeps.... I know mist of us have nice English gardens but can I put a call out for us all to put some w…,1,None,208,996
2018-01-18 06:40:15,"@ForTheWinn With raised brows she took in the description of the show Winn was speaking ahout. 
“It sounds riveting… https://t.co/4CjLmmnUlx",0,None,237,190
2018-01-18 06:40:15,RT @GarrettFigen: Retweet if you like cats! https://t.co/BaBzuMI2Uf,7,None,987,2714
2018-01-18 06:40:09,"*cats fucking outside* 
Me: Sylvester is getting some pussy! 
Dad: *something muffled from the other side of the ho… https://t.co/ZuNpq8Ud8Z",0,None,150,950
2018-01-18 06:40:08,"RT @TheHumaneLeague: Dogs, cats or calves-- they all deserve endless love. 💚 #ChooseVeg today and check out https://t.co/OiMCbSMFNK 

Video…",85,ChooseVeg,1699,2946
2018-01-18 06:40:05,( WHY ARE THERE ALWAYS CATS FIGHTING AT NIGHT. ),0,None,78,71
2018-01-18 06:40:03,) families ta do cats to correspond. - @thePoeticRobot,0,None,14,0
2018-01-18 06:40:01,"RT @GucciGuccin: @mofaizal09 #christmas #Xmas
#ChristmasEve #MerryChritsmas
#cats 
#snowfall 
❄️☃️❄️☃️❄️☃️❄️☃️❄️☃️❄️
🎄🎁Merry Christmas 🎁🎄…",214,christmas,1140,2068
2018-01-18 06:39:50,EARLY Vintage Christian Dior by Francis Winter CATS EYE Opal Art Glass Necklace Top Seller https://t.co/1XNSEiU1kc https://t.co/YpMAJk7YEe,0,None,1397,696
2018-01-18 06:39:48,"RT @SweetLoots: Aw, yeah! Inks are done!

#cats #scifi #illustration #inks https://t.co/TMoffRtHUD",1,cats,3435,3403
2018-01-18 06:39:46,RT @mulplayer: Dashing Portraits of Cats Dressed in Royal Attire❗ https://t.co/8IvaMaDEiQ https://t.co/DbY9kqThsA,28,None,1010,2530
2018-01-18 06:39:45,Omg!!!! Im not into cats but these two are just too cute. 😭😭😭 https://t.co/z1vISsQMTE,0,None,60,193
2018-01-18 06:39:38,RT @KHOU: An Irish company is looking to hire someone to cuddle cats https://t.co/wk0OxmUFZY,8,None,142,335
